x,y,cluster
-0.407,-0.78,0
-0.276,0.034,0
-0.301,-0.781,0
-0.474,0.278,0
-0.114,-1.35,0
0.461,-1.332,0
-0.577,0.03,0
0.048,-0.758,0
-0.183,-0.776,0
-0.377,-1.355,0
-0.458,-1.36,0
-0.268,1.089,0
-0.133,-1.36,0
-0.519,-1.362,0
0.499,-1.339,0
-0.124,-1.349,0
-0.714,1.08,0
-0.624,-1.365,0
-0.526,-1.368,0
-0.361,-1.361,0
0.166,-1.348,0
0.105,-1.338,0
-0.037,-1.355,0
-0.68,-1.369,0
-0.338,-1.366,0
-0.417,-1.356,0
0.088,-0.764,0
-0.385,-0.774,0
-0.612,-1.369,0
-0.295,-1.369,0
-0.417,-1.361,0
-0.282,-0.55,0
-0.283,-1.349,0
-0.147,-0.766,0
-0.297,-0.782,0
1.953,-1.298,0
-0.721,-0.563,0
2.169,-1.305,0
-0.866,1.075,0
-0.086,-1.347,0
-0.42,0.493,0
-0.031,-1.352,0
-0.417,-1.359,0
-0.461,-1.364,0
-0.473,-0.776,0
-0.676,1.079,0
-0.108,-1.349,0
-0.607,-1.364,0
-0.058,-0.767,0
-0.588,-0.559,0
-0.071,-0.545,0
0.215,-1.346,0
-0.119,-0.774,0
-0.134,-1.354,0
-0.708,1.077,0
0.091,-1.339,0
-0.249,-1.355,0
-0.674,-1.368,0
-0.621,1.076,0
-0.352,-0.776,0
0.267,-1.332,0
-0.456,-1.354,0
-0.088,-1.363,0
-0.001,-1.348,0
-0.53,-0.78,0
-0.341,-0.782,0
-0.307,-1.358,0
0.147,-1.348,0
-0.505,-0.557,0
-0.447,-0.773,0
-0.487,0.271,0
-0.541,-1.363,0
-0.562,-0.781,0
-0.1,-1.354,0
2.529,-1.277,0
-0.595,-0.558,0
-0.375,-1.365,0
-0.055,-1.353,0
-0.417,-1.359,0
-0.582,-0.561,0
0.023,-1.358,0
-0.65,-1.364,0
-0.494,-0.554,0
0.127,-1.344,0
-0.373,-1.358,0
-0.136,-1.356,0
-0.677,-1.366,0
-0.533,-1.365,0
-0.563,-0.783,0
0.192,-1.343,0
-0.364,-1.358,0
-0.813,-0.565,0
-0.355,-0.783,0
-0.255,-0.549,0
0.025,-1.347,0
-0.588,0.271,0
0.044,-1.354,0
-0.44,-1.365,0
-0.088,-0.774,0
-0.386,-0.779,0
-0.371,-1.361,0
-0.773,1.076,0
-0.565,-0.783,0
-0.146,-1.36,0
-0.582,-1.364,0
0.09,-1.349,0
-0.214,-0.767,0
-0.192,-1.347,0
-0.404,0.017,0
-0.533,1.304,0
-0.333,-1.357,0
0.0,-1.36,0
-0.64,-1.367,0
2.14,-1.293,0
-0.594,-1.367,0
-0.496,-1.361,0
0.1,-1.341,0
-0.549,-0.562,0
-0.717,-0.564,0
-0.635,-1.368,0
-0.605,-1.364,0
-0.418,-1.363,0
-0.396,-1.358,0
-0.363,-0.78,0
-0.338,-1.358,0
-0.077,-1.353,0
-0.543,-0.555,0
-0.458,-1.36,0
0.25,-1.345,0
-0.59,-1.368,0
-0.336,-1.36,0
-0.295,-0.777,0
-0.151,-1.355,0
-0.279,-1.366,0
-0.16,-1.357,0
0.123,-1.35,0
-0.187,-1.359,0
-0.358,0.03,0
-0.409,-1.362,0
-0.394,-0.775,0
-0.529,-0.554,0
-0.159,-1.364,0
-0.562,-1.362,0
-0.102,-1.355,0
-0.346,-0.55,0
-0.341,-1.354,0
-0.354,-1.362,0
-0.229,-1.353,0
-0.461,-1.36,0
0.404,-1.33,0
-0.242,-0.77,0
-0.386,-1.364,0
-0.572,-1.366,0
-0.259,-1.358,0
-0.594,1.075,0
-0.42,-1.365,0
0.185,-1.342,0
-0.426,-1.353,0
-0.783,1.878,0
-0.12,-1.359,0
-0.416,-0.777,0
-0.657,0.497,0
-0.322,-0.554,0
-0.477,-0.552,0
-0.479,-0.561,0
-0.09,-1.357,0
-0.437,-1.363,0
0.056,0.254,0
-0.477,-0.778,0
