MIN_DISTANCE_AIRBORNE_2015,MIN_DISTANCE_AIRBORNE_2016,MIN_DISTANCE_GROUND_2015,MIN_DISTANCE_GROUND_2016,FACILITY_TYPE_MODELLED,ON_GRID_AVL,URBAN,ON_GRID,SOLAR_ONL,DIESEL_ONL,cluster
14.946096,21.827921,14.946096,20.115112,2,False,False,False,False,False,0
15.302074,21.435566,15.302074,19.149908,1,False,False,False,False,False,0
12.725483,19.531223,12.725483,18.913294,1,False,False,False,False,False,0
11.28084,10.535708,11.28084,10.559973,2,False,False,False,False,False,0
16.647367,16.647367,16.647367,16.647367,1,False,False,False,False,False,0
19.862753,24.335733,13.345946,13.345946,1,False,False,False,False,False,0
5.1879344,13.099041,5.1879344,4.3503642,1,False,False,False,False,False,0
10.77341,10.77341,10.77341,10.77341,1,False,False,False,False,False,0
10.055112,10.055112,10.055112,10.055112,1,False,False,False,False,False,0
19.170551,21.622467,15.074427,15.074427,1,False,False,False,False,False,0
11.533705,25.254938,7.3600569,7.3600569,1,False,False,False,False,False,0
7.1261954,7.4973755,7.1261954,6.1719027,1,False,False,True,False,False,0
6.4412217,11.999391,6.4412217,10.983502,2,False,False,True,False,False,0
4.1198988,12.359605,4.1198988,12.304278,1,False,False,True,False,False,0
12.126068,9.5038815,12.126068,10.362134,1,False,False,False,False,True,4
4.9652996,7.4120774,4.9652996,7.4120774,1,False,False,True,False,False,0
8.4627151,10.335095,8.4627151,8.1296825,2,False,False,True,False,False,0
5.1990924,14.920597,5.1990924,11.216097,1,False,False,True,False,False,0
4.8421216,14.534685,4.8421216,8.4004269,1,False,False,False,True,False,1
18.293884,20.678791,13.851238,13.851238,2,False,False,False,True,False,1
10.497514,19.486677,10.497514,15.860933,1,False,False,False,False,False,0
17.078028,27.696999,10.152258,10.152258,1,False,False,False,False,False,0
6.4636488,14.915693,7.0802283,7.4385643,2,False,False,False,True,False,1
0.35214692,10.66566,0.35214692,8.7991533,3,False,True,True,False,False,2
23.917252,29.78688,18.202938,21.010254,1,False,False,False,False,False,0
11.908524,20.943068,11.908524,13.043132,1,False,False,False,False,False,0
14.214703,14.214703,14.214703,14.214703,1,False,False,False,False,False,0
1.1190773,1.1190773,1.1190773,1.1190773,3,False,True,True,False,False,2
0.21995676,0.21995676,0.21995676,0.21995676,3,False,True,True,False,False,2
1.9334376,1.9334376,1.9334376,1.9334376,3,False,True,True,False,False,2
0.77312595,0.77312595,0.77312595,0.77312595,2,False,True,True,False,False,2
0.43316647,0.43316647,0.43316647,0.43316647,2,False,True,True,False,False,2
1.4919542,1.4919542,1.4919542,1.4919542,2,False,True,True,False,False,2
2.1505461,2.1505461,2.1505461,2.1505461,2,False,True,True,False,False,2
0.52374589,3.1354187,0.52374589,3.1354187,2,False,False,True,False,False,0
0.24166255,3.4201746,0.24166255,3.4201746,2,False,False,True,False,False,0
6.3944473,7.3742547,6.3944473,7.3742547,2,False,False,True,False,False,0
6.6037636,1.4524257,6.6037636,6.6037636,2,False,False,False,False,False,0
11.134976,16.446337,11.134976,16.306665,2,False,False,False,True,False,1
3.8857388,3.8857388,8.4809513,8.4809513,1,False,False,False,False,False,0
3.8015063,3.8015063,8.0001574,8.0001574,2,False,False,False,False,False,0
6.5660768,15.373777,6.5660768,13.354222,1,False,False,False,False,True,4
8.9461212,15.986361,8.9461212,14.813815,1,False,False,False,True,False,1
3.7591856,7.2375417,3.7591856,5.2575049,2,False,False,True,False,False,0
14.893795,12.911947,17.90144,18.973818,2,False,False,True,False,False,0
15.86777,15.734523,17.605515,20.491539,2,False,False,False,False,False,0
