FACILITY_ID;GOV;DISTRICT;FACILITY_TYPE;URBAN;MIN_AIR_2015;MIN_AIR_2016;MIN_GROUND_2015;MIN_GROUND_2016;ON_GRID;ON_GRID_AVL;SOLAR_ONL;SOLAR_INC;DIESEL_ONL;DIESEL_INC;cluster
2515001;Lahj;Tuban;1;0;4;8;10;10;1;0;0;0;0;0;0
2502005;Lahj;Yafa'a;2;0;29;4;15;4;1;0;0;0;0;0;0
2911005;Amran;Raydah;1;0;5;5;13;19;1;0;0;0;0;0;0
1502012;Taiz;Attazziah;1;0;12;13;12;7;1;0;0;1;0;0;0
2508008;Lahj;Al Milah;1;0;10;16;10;27;0;0;0;0;0;0;6
1201008;Abyan;Al Mahfd;1;0;32;27;27;32;0;0;0;0;0;0;6
1202010;Abyan;Mudiyah;2;0;2;18;2;2;1;0;0;0;0;0;0
1202011;Abyan;Mudiyah;1;0;16;30;16;16;1;0;0;0;0;0;0
2919004;Amran;Khammer;1;0;4;8;8;36;1;0;0;0;0;0;0
1415005;Al-baida;Wald Rabi'a;1;0;17;6;7;7;0;0;0;0;0;0;6
1201002;Abyan;Al Mahfd;1;0;7;7;7;7;0;0;0;0;0;0;6
2503004;Lahj;Al Moflehi;2;0;30;11;21;8;1;0;0;1;0;0;0
2214014;Sa'adah;Kitaf and Al  Buqa;1;0;8;7;21;21;0;0;0;0;0;0;6
3003020;Al-Dhala;Qa'atabah;1;0;6;5;6;5;0;0;0;0;0;0;6
3105003;Rimah;Al Jafariyah;1;0;14;30;30;46;0;0;0;0;0;0;6
2909010;Amran;Dhi Bin;1;0;18;13;11;20;0;0;0;0;0;0;6
1204011;Abyan;Lawder;2;0;10;10;0;10;1;0;0;1;0;0;0
2515008;Lahj;Tuban;1;0;3;3;3;3;0;0;0;0;0;0;6
2209008;Sa'adah;Saqayn;1;0;3;0;9;8;0;0;0;0;0;1;4
2709007;Al-Mahweet;Al Mahwait;1;0;4;4;4;27;0;0;0;0;0;0;6
