City,January,February,March,April,May,June,July,August,September,October,November,December
Augsburg,-0.2,0.6,4.6,8.6,13,16.5,18.2,18,13.5,9.1,3.9,0.7
Berlin,0.5,1,5,8.5,14,17,19,19,15,9.5,4.5,2
Bremen,2,2.4,5.2,9.2,12.9,15.8,18.3,17.9,14.4,10,5.6,2.9
Cologne,2,3,6.5,9.5,13.5,16.5,18.5,18.5,15,11,6.5,3
Dortmund,1.5,2.5,5.5,8.5,13,16,17.5,17.5,15,10.5,5.5,3
Dresden,0.5,1,4.5,9,14,17,19,19,15,10.5,4.5,1.5
Dusseldorf,3,3.5,7,10,14,17,19,19,15.5,11.5,7,3.5
Essen,2,2.5,5.5,9,13.5,15.5,17.5,17.5,15,11,5.5,3
Stuttgart,0.5,1.5,5.5,9,13.5,16.5,18.5,18.5,14.5,9.5,4.5,1
Frankfurt,1.5,2.5,6.5,10,14.5,17.5,20,19.5,15.5,11,5.5,2.5
Freiburg,2.8,3.7,7.5,11.1,15.3,18.9,20.8,20.5,16.1,11.6,6.6,3.7
Hamburg,1.7,2.2,4.9,9,12.9,15.8,18.3,18,14.5,9.9,5.5,2.7
Hanover,1.9,2.4,5.3,9.4,13.3,16.3,18.7,18.3,14.6,10.2,5.8,2.8
Kiel,1.7,2.1,4.5,8.3,12,15.2,17.7,17.5,14.4,10.2,5.7,3.1
Munich,0,0.5,5,9,13.5,16.5,18.5,18.5,14,9.5,4,1
Rostock,1.7,2.1,4.5,8.7,12.7,16.1,18.6,18.6,15.2,10.5,5.9,2.9
Leipzig,0.5,1,5,9,14,17,19.5,19,14.5,10,5,1.5
Nuremberg,0,0.5,4.5,8.5,13.5,17.5,19,18.5,14,9.5,4,1
