x,y,cluster
-0.656,0.52,0
-0.65,1.152,0
-0.617,0.523,0
-0.502,-0.478,0
-0.648,1.151,0
-0.389,-0.47,0
-0.94,1.135,0
-0.941,1.135,0
-0.729,1.147,0
-0.619,0.147,0
-0.338,1.166,0
-0.712,1.776,0
-0.671,1.15,0
-1.003,1.762,0
-0.877,1.138,0
-0.461,0.155,0
-0.507,-0.479,0
-0.75,-0.491,0
-0.567,-0.481,0
-0.677,0.142,0
-0.846,1.138,0
-0.676,0.142,0
-0.418,-0.473,0
-0.481,0.154,0
-0.521,0.152,0
-0.345,-0.471,0
-0.365,0.159,0
-0.727,1.145,0
-0.417,0.157,0
-0.455,0.155,0
-0.524,0.152,0
-0.551,0.149,0
-0.541,0.151,0
-0.617,0.146,0
-0.458,-0.476,0
-0.391,-0.473,0
-0.405,-0.473,0
-0.802,0.513,0
-0.597,0.147,0
-0.558,-0.482,0
-0.624,-0.485,0
-0.514,0.151,0
-0.51,-0.478,0
-0.721,1.152,0
-0.769,1.148,0
-0.786,1.146,0
-0.419,0.159,0
-0.469,0.155,0
-0.529,0.152,0
-0.663,-0.487,0
-0.61,0.147,0
-0.519,0.15,0
-0.503,-0.48,0
-0.495,-0.478,0
-0.437,-0.475,0
-0.508,0.152,0
-0.742,1.147,0
-0.8,1.144,0
-0.794,1.143,0
-0.787,1.143,0
-0.802,1.144,0
-0.798,1.144,0
-0.81,1.144,0
-0.915,1.136,0
-0.462,-0.475,0
-0.879,1.138,0
-0.437,0.156,0
-0.598,0.523,0
-0.563,1.155,0
-0.499,-0.479,0
-0.424,-0.477,0
-0.679,1.146,0
-0.756,1.146,0
-0.353,-0.47,0
-0.638,1.15,0
-0.397,-0.475,0
-0.601,0.523,0
-0.758,1.147,0
-0.731,1.148,0
-0.664,0.521,0
-0.535,-0.478,0
-0.521,-0.478,0
-0.561,-0.479,0
-0.737,1.147,0
-0.439,-0.474,0
-0.431,0.158,0
-0.406,-0.471,0
-0.71,1.149,0
-0.411,-0.472,0
-0.59,-0.481,0
-0.639,-0.484,0
-0.673,-0.487,0
-0.668,0.144,0
-0.633,0.146,0
-0.624,0.147,0
-0.925,1.135,0
-0.419,-0.469,0
0.281,-0.433,0
0.559,-0.417,0
-0.439,-0.472,0
-0.581,0.153,0
0.035,-0.444,0
0.304,-0.43,0
-0.398,-0.471,0
-0.483,-0.475,0
-0.478,-0.473,0
-0.652,-0.484,0
-0.164,-0.457,0
0.038,-0.444,0
-0.469,-0.474,0
-0.504,-0.478,0
-0.735,1.149,0
-0.392,-0.47,0
-0.741,1.149,0
-0.324,-0.464,0
-0.548,-0.48,0
-0.536,-0.48,0
-0.558,-0.48,0
-0.201,-0.46,0
-0.654,1.153,0
-0.297,-0.464,0
0.001,-0.447,0
-0.169,0.174,0
-0.105,-0.454,0
-0.055,-0.451,0
-0.157,-0.457,0
-0.153,-0.456,0
-0.096,-0.453,0
0.175,-0.442,0
0.082,0.185,0
0.135,-0.441,0
0.121,-0.441,0
0.086,-0.444,0
0.361,-0.429,0
0.426,-0.427,0
0.226,-0.436,0
0.27,-0.433,0
-0.101,-0.457,0
-0.499,0.154,0
-0.506,-0.479,0
-0.583,-0.481,0
-0.515,-0.477,0
-0.819,0.136,0
-0.792,0.137,0
-0.511,-0.478,0
-0.361,-0.469,0
-0.225,-0.464,0
-0.396,-0.472,0
-0.416,-0.471,0
-0.468,-0.473,0
-0.488,-0.475,0
-0.126,-0.455,0
-0.36,-0.469,0
-0.579,-0.482,0
-0.809,0.136,0
-0.651,0.146,0
-0.651,-0.486,0
0.014,0.137,0
0.023,0.136,0
-0.374,0.162,0
-0.695,0.144,0
-0.591,-0.481,0
-0.528,-0.478,0
-0.557,-0.481,0
-0.195,-0.461,0
-0.521,-0.479,0
-1.006,1.762,0
-0.546,-0.48,0
-0.603,-0.481,0
-0.556,1.244,0
-0.98,1.133,0
-0.483,0.53,0
-0.474,-0.477,0
-0.675,0.144,0
-0.674,0.144,0
-0.884,1.138,0
-0.671,0.144,0
-0.673,0.144,0
-0.747,1.145,0
-0.898,1.137,0
-0.801,0.137,0
-0.791,0.512,0
-0.56,-0.481,0
-0.933,1.766,0
-0.848,1.14,0
-0.809,1.141,0
-0.8,0.512,0
