PC 1,PC 2,cluster
-0.274,-1.01,1
-0.472,-1.019,1
-0.415,-1.017,1
-0.372,-1.014,1
-0.296,-1.01,1
-0.236,-1.008,1
-0.323,-1.011,1
-0.644,-1.028,1
-0.21,-1.006,1
-0.481,-1.019,1
-0.537,-1.022,1
-0.569,-0.396,1
-0.432,-1.02,1
-0.515,-1.023,1
-0.396,-1.018,1
0.127,-0.982,1
0.009,-0.989,1
0.047,-0.985,1
-0.407,-1.017,1
-0.03,-0.992,1
-0.459,-1.018,1
-0.291,-1.01,1
-0.511,-1.022,1
-0.478,-1.02,1
-0.136,-1.01,1
-0.117,-1.011,1
-0.116,-1.011,1
-0.253,-1.008,1
-0.177,-1.004,1
-0.261,-1.008,1
-0.225,-1.009,1
-0.239,-1.009,1
-0.24,-1.009,1
-0.185,-1.007,1
-0.299,-1.011,1
-0.365,-1.014,1
-0.27,-1.01,1
-0.335,-1.014,1
-0.301,-1.011,1
-0.326,-1.012,1
-0.132,-1.007,1
-0.095,-1.007,1
-0.115,-1.009,1
0.311,-0.987,1
0.055,-0.998,1
0.04,-0.997,1
0.194,-0.991,1
-0.027,-0.368,1
0.147,-0.99,1
-0.373,-1.013,1
-0.211,-1.004,1
-0.267,-1.008,1
-0.309,-1.009,1
-0.13,-1.001,1
-0.075,-1.002,1
-0.03,-0.998,1
-0.328,-1.011,1
-0.33,-1.01,1
-0.123,-0.999,1
-0.081,-1.003,1
0.161,-0.992,1
0.095,-0.986,1
0.06,-0.987,1
0.033,-0.989,1
-0.152,-1.002,1
0.386,-0.976,1
-0.07,-0.996,1
0.425,-0.975,1
0.293,-0.979,1
0.172,-0.988,1
0.148,-0.987,1
0.098,-0.986,1
-0.537,-1.023,1
0.095,-0.985,1
0.089,-0.984,1
0.12,-0.986,1
-0.261,-1.007,1
-0.134,-1.0,1
-0.046,-0.995,1
0.072,-0.989,1
0.292,-0.979,1
0.186,-0.983,1
0.092,-0.983,1
-0.118,-1.004,1
-0.515,-1.022,1
-0.525,-0.391,1
-0.609,-0.395,1
-0.707,-0.4,1
-0.496,-1.02,1
-0.472,-1.019,1
-0.467,-1.019,1
-0.464,-1.018,1
-0.434,-1.019,1
-0.576,-0.396,1
0.14,-0.988,1
0.287,-0.988,1
-0.487,-0.391,1
-0.418,-1.018,1
-0.495,-1.02,1
-0.37,-1.015,1
-0.41,-1.018,1
-0.485,-1.023,1
-0.5,-1.023,1
-0.541,-1.023,1
-0.492,-1.022,1
-0.602,-1.026,1
-0.627,-1.027,1
-0.591,-1.025,1
-0.523,-1.019,1
-0.487,-1.02,1
-0.395,-1.013,1
-0.535,-0.389,1
-0.377,-0.38,1
-0.496,-1.02,1
-0.677,-1.03,1
-0.557,-1.023,1
-0.649,-0.396,1
-0.604,-1.025,1
-0.523,-1.021,1
-0.758,-0.403,1
-0.626,-1.027,1
-0.701,-0.4,1
-0.66,-1.029,1
-0.629,-1.027,1
-0.778,-0.404,1
-0.532,-1.022,1
-0.634,-0.396,1
-0.566,-1.023,1
-0.229,-1.016,1
-0.297,-1.013,1
-0.275,-1.017,1
-0.282,-1.018,1
-0.256,-1.016,1
