FACILITY_ID,FACILITY_TYPE,URBAN,MIN_AIR_2015,MIN_AIR_2016,MIN_GROUND_2015,MIN_GROUND_2016,ON_GRID,ON_GRID_AVL,SOLAR_ONL,SOLAR_INC,DIESEL_ONL,DIESEL_INC
1101001,2,0,15,22,15,20,0,0,0,0,0,0
1101002,1,0,15,21,15,19,0,0,0,0,0,0
1101003,1,0,13,20,13,19,0,0,0,0,0,0
1101004,2,0,11,11,11,11,0,0,0,0,0,0
1101005,1,0,17,17,17,17,0,0,0,0,0,0
1101006,1,0,20,24,13,13,0,0,0,0,0,0
1101007,1,0,5,13,5,4,0,0,0,0,0,0
1101008,1,0,11,11,11,11,0,0,0,0,0,0
1101009,1,0,10,10,10,10,0,0,0,0,0,0
1101010,1,0,19,22,15,15,0,0,0,0,0,0
1101011,1,0,12,25,7,7,0,0,0,0,0,0
1101012,1,0,7,7,7,6,1,0,0,1,0,0
1101013,2,0,6,12,6,11,1,0,0,1,0,0
1101014,1,0,4,12,4,12,1,0,0,1,0,0
1101015,1,0,12,10,12,10,0,0,0,0,1,1
1101016,1,0,5,7,5,7,1,0,0,0,0,0
1101017,2,0,8,10,8,8,1,0,0,1,0,0
1101018,1,0,5,15,5,11,1,0,0,0,0,0
1101019,1,0,5,15,5,8,0,0,1,1,0,0
1101020,2,0,18,21,14,14,0,0,1,1,0,0
1101021,1,0,10,19,10,16,0,0,0,0,0,0
1101022,1,0,17,28,10,10,0,0,0,0,0,0
1101023,2,0,6,15,7,7,0,0,1,1,0,0
1101024,3,1,0,11,0,9,1,0,0,1,0,0
1101025,1,0,24,30,18,21,0,0,0,0,0,0
1101026,1,0,12,21,12,13,0,0,0,0,0,0
1101027,1,0,14,14,14,14,0,0,0,0,0,0
1102001,3,1,1,1,1,1,1,0,0,1,0,0
1102002,3,1,0,0,0,0,1,0,0,1,0,0
1102003,3,1,2,2,2,2,1,0,0,1,0,0
1102004,2,1,1,1,1,1,1,0,0,1,0,0
1102005,2,1,0,0,0,0,1,0,0,1,0,0
1102006,2,1,1,1,1,1,1,0,0,1,0,0
1102007,2,1,2,2,2,2,1,0,0,1,0,0
1102008,2,0,1,3,1,3,1,0,0,1,0,0
1102009,2,0,0,3,0,3,1,0,0,1,0,0
1102010,2,0,6,7,6,7,1,0,0,1,0,0
1102011,2,0,7,1,7,7,0,0,0,0,0,0
1102012,2,0,11,16,11,16,0,0,1,1,0,0
1102013,1,0,4,4,8,8,0,0,0,0,0,0
1102014,2,0,4,4,8,8,0,0,0,0,0,0
1102015,1,0,7,15,7,13,0,0,0,0,1,1
1102016,1,0,9,16,9,15,0,0,1,1,0,0
1102017,2,0,4,7,4,5,1,0,0,0,0,0
1102018,2,0,15,13,18,19,1,0,0,1,0,0
1102019,2,0,16,16,18,20,0,0,0,0,0,0
1102020,1,0,11,16,22,23,0,0,0,0,1,1
1102021,1,0,7,8,7,4,1,0,0,0,0,1
1102022,1,0,14,7,14,14,1,0,0,0,0,1
1103001,2,0,5,6,5,14,0,0,0,0,0,0
1103002,1,0,8,10,8,19,0,0,1,1,0,0
1103003,2,0,6,7,6,17,0,0,0,0,1,1
1103004,3,0,3,8,8,17,1,0,0,1,0,0
1103005,2,0,1,5,11,14,0,0,0,0,0,0
1103006,2,1,0,0,0,17,0,0,1,1,0,0
1103007,1,0,3,4,4,20,0,0,0,0,0,0
1103008,2,1,0,0,0,17,0,0,1,1,0,0
1103009,3,1,1,1,1,18,0,0,1,1,0,0
1103010,2,0,3,5,3,12,0,0,0,0,0,0
1103011,1,0,3,3,3,18,0,0,1,1,0,0
1103012,1,1,1,1,1,18,0,0,0,0,1,1
1104001,2,0,5,9,5,9,0,0,0,0,0,0
1104002,1,0,6,6,6,6,0,0,0,0,1,1
1104003,2,0,8,8,8,8,1,0,0,1,0,0
