FACILITY_ID,ON_GRID_AVL,MIN_AIR_2015,MIN_AIR_2016,MIN_GROUND_2015,MIN_GROUND_2016,URBAN,ON_GRID,EA,SOLAR_INC,SOLAR_ONL,DIESEL_INC,DIESEL_ONL,FACILITY_TYPE,cluster
1101001,0,14.946096,21.827921,14.946096,20.115112,0,0,0,0,0,0,0,2,6
1101002,0,15.302074,21.435566,15.302074,19.149908,0,0,0,0,0,0,0,1,6
1101003,0,12.725483,19.531223,12.725483,18.913294,0,0,0,0,0,0,0,1,6
1101004,0,11.28084,10.535708,11.28084,10.559973,0,0,0,0,0,0,0,2,6
1101005,0,16.647367,16.647367,16.647367,16.647367,0,0,0,0,0,0,0,1,6
1101006,0,19.862753,24.335733,13.345946,13.345946,0,0,0,0,0,0,0,1,6
1101007,0,5.1879344,13.099041,5.1879344,4.3503642,0,0,0,0,0,0,0,1,6
1101008,0,10.77341,10.77341,10.77341,10.77341,0,0,0,0,0,0,0,1,6
1101009,0,10.055112,10.055112,10.055112,10.055112,0,0,0,0,0,0,0,1,6
1101010,0,19.170551,21.622467,15.074427,15.074427,0,0,0,0,0,0,0,1,6
1101011,0,11.533705,25.254938,7.3600569,7.3600569,0,0,0,0,0,0,0,1,6
1101012,0,7.1261954,7.4973755,7.1261954,6.1719027,0,1,1,1,0,0,0,1,0
1101013,0,6.4412217,11.999391,6.4412217,10.983502,0,1,1,1,0,0,0,2,0
1101014,0,4.1198988,12.359605,4.1198988,12.304278,0,1,1,1,0,0,0,1,0
1101015,0,12.126068,9.5038815,12.126068,10.362134,0,0,1,0,0,1,1,1,4
1101016,0,4.9652996,7.4120774,4.9652996,7.4120774,0,1,0,0,0,0,0,1,0
1101017,0,8.4627151,10.335095,8.4627151,8.1296825,0,1,1,1,0,0,0,2,0
1101018,0,5.1990924,14.920597,5.1990924,11.216097,0,1,0,0,0,0,0,1,0
1101019,0,4.8421216,14.534685,4.8421216,8.4004269,0,0,1,1,1,0,0,1,1
1101020,0,18.293884,20.678791,13.851238,13.851238,0,0,1,1,1,0,0,2,1
1101021,0,10.497514,19.486677,10.497514,15.860933,0,0,0,0,0,0,0,1,6
1101022,0,17.078028,27.696999,10.152258,10.152258,0,0,0,0,0,0,0,1,6
1101023,0,6.4636488,14.915693,7.0802283,7.4385643,0,0,1,1,1,0,0,2,1
1101024,0,0.35214692,10.66566,0.35214692,8.7991533,1,1,1,1,0,0,0,3,2
1101025,0,23.917252,29.78688,18.202938,21.010254,0,0,0,0,0,0,0,1,6
1101026,0,11.908524,20.943068,11.908524,13.043132,0,0,0,0,0,0,0,1,6
1101027,0,14.214703,14.214703,14.214703,14.214703,0,0,0,0,0,0,0,1,6
1102001,0,1.1190773,1.1190773,1.1190773,1.1190773,1,1,1,1,0,0,0,3,2
1102002,0,0.21995676,0.21995676,0.21995676,0.21995676,1,1,1,1,0,0,0,3,2
1102003,0,1.9334376,1.9334376,1.9334376,1.9334376,1,1,1,1,0,0,0,3,2
1102004,0,0.77312595,0.77312595,0.77312595,0.77312595,1,1,1,1,0,0,0,2,2
1102005,0,0.43316647,0.43316647,0.43316647,0.43316647,1,1,1,1,0,0,0,2,2
1102006,0,1.4919542,1.4919542,1.4919542,1.4919542,1,1,1,1,0,0,0,2,2
1102007,0,2.1505461,2.1505461,2.1505461,2.1505461,1,1,1,1,0,0,0,2,2
1102008,0,0.52374589,3.1354187,0.52374589,3.1354187,0,1,1,1,0,0,0,2,0
1102009,0,0.24166255,3.4201746,0.24166255,3.4201746,0,1,1,1,0,0,0,2,0
1102010,0,6.3944473,7.3742547,6.3944473,7.3742547,0,1,1,1,0,0,0,2,0
1102011,0,6.6037636,1.4524257,6.6037636,6.6037636,0,0,0,0,0,0,0,2,6
1102012,0,11.134976,16.446337,11.134976,16.306665,0,0,1,1,1,0,0,2,1
1102013,0,3.8857388,3.8857388,8.4809513,8.4809513,0,0,0,0,0,0,0,1,6
1102014,0,3.8015063,3.8015063,8.0001574,8.0001574,0,0,0,0,0,0,0,2,6
1102015,0,6.5660768,15.373777,6.5660768,13.354222,0,0,1,0,0,1,1,1,4
1102016,0,8.9461212,15.986361,8.9461212,14.813815,0,0,1,1,1,0,0,1,1
1102017,0,3.7591856,7.2375417,3.7591856,5.2575049,0,1,0,0,0,0,0,2,0
1102018,0,14.893795,12.911947,17.90144,18.973818,0,1,1,1,0,0,0,2,0
1102019,0,15.86777,15.734523,17.605515,20.491539,0,0,0,0,0,0,0,2,6
1102020,0,10.902693,16.003843,22.400211,22.877867,0,0,1,0,0,1,1,1,4
1102021,0,7.1858659,7.7057266,7.1858659,3.7178371,0,1,1,0,0,1,0,1,0
1102022,0,14.464867,7.4172616,14.464867,14.464867,0,1,1,0,0,1,0,1,0
1103001,0,5.0315776,6.2497597,5.0315776,13.874106,0,0,0,0,0,0,0,2,6
1103002,0,8.3879232,10.341434,8.3879232,19.144232,0,0,1,1,1,0,0,1,1
1103003,0,6.3688893,6.5749025,6.3688893,16.998959,0,0,1,0,0,1,1,2,4
1103004,0,3.2188711,7.6061468,7.6061468,17.35939,0,1,1,1,0,0,0,3,0
1103005,0,1.1564031,5.0036759,11.439461,13.920248,0,0,0,0,0,0,0,2,6
1103006,0,0.11436258,0.11436258,0.11436258,16.892145,1,0,1,1,1,0,0,2,1
1103007,0,2.6775398,4.0255485,4.0255485,20.475315,0,0,0,0,0,0,0,1,6
1103008,0,0.28201151,0.28201151,0.28201151,16.724546,1,0,1,1,1,0,0,2,1
