pc 1,pc 2,cluster
-0.656,0.52,1.0
-0.65,1.152,1.0
-0.617,0.523,1.0
-0.502,-0.478,1.0
-0.648,1.151,1.0
-0.389,-0.47,1.0
-0.94,1.135,1.0
-0.941,1.135,1.0
-0.729,1.147,1.0
-0.619,0.147,1.0
-0.338,1.166,1.0
-0.712,1.776,1.0
-0.671,1.15,1.0
-1.003,1.762,1.0
-0.877,1.138,1.0
-0.461,0.155,1.0
-0.507,-0.479,1.0
-0.75,-0.491,1.0
-0.567,-0.481,1.0
-0.677,0.142,1.0
-0.846,1.138,1.0
-0.676,0.142,1.0
-0.418,-0.473,1.0
-0.481,0.154,1.0
-0.521,0.152,1.0
-0.345,-0.471,1.0
-0.365,0.159,1.0
-0.727,1.145,1.0
-0.417,0.157,1.0
-0.455,0.155,1.0
-0.524,0.152,1.0
-0.551,0.149,1.0
-0.541,0.151,1.0
-0.617,0.146,1.0
-0.458,-0.476,1.0
-0.391,-0.473,1.0
-0.405,-0.473,1.0
-0.802,0.513,1.0
-0.597,0.147,1.0
-0.558,-0.482,1.0
-0.624,-0.485,1.0
-0.514,0.151,1.0
-0.51,-0.478,1.0
-0.721,1.152,1.0
-0.769,1.148,1.0
-0.786,1.146,1.0
-0.419,0.159,1.0
-0.469,0.155,1.0
-0.529,0.152,1.0
-0.663,-0.487,1.0
-0.61,0.147,1.0
-0.519,0.15,1.0
-0.503,-0.48,1.0
-0.495,-0.478,1.0
-0.437,-0.475,1.0
-0.508,0.152,1.0
-0.742,1.147,1.0
-0.8,1.144,1.0
-0.794,1.143,1.0
-0.787,1.143,1.0
-0.802,1.144,1.0
-0.798,1.144,1.0
-0.81,1.144,1.0
-0.915,1.136,1.0
-0.462,-0.475,1.0
-0.879,1.138,1.0
-0.437,0.156,1.0
-0.598,0.523,1.0
-0.563,1.155,1.0
-0.499,-0.479,1.0
-0.424,-0.477,1.0
-0.679,1.146,1.0
-0.756,1.146,1.0
-0.353,-0.47,1.0
-0.638,1.15,1.0
-0.397,-0.475,1.0
-0.601,0.523,1.0
-0.758,1.147,1.0
-0.731,1.148,1.0
-0.664,0.521,1.0
-0.535,-0.478,1.0
-0.521,-0.478,1.0
-0.561,-0.479,1.0
-0.737,1.147,1.0
-0.439,-0.474,1.0
-0.431,0.158,1.0
-0.406,-0.471,1.0
-0.71,1.149,1.0
-0.411,-0.472,1.0
-0.59,-0.481,1.0
-0.639,-0.484,1.0
-0.673,-0.487,1.0
-0.668,0.144,1.0
-0.633,0.146,1.0
-0.624,0.147,1.0
