x,y,cluster
6.861,-0.05,3
8.101,0.019,3
8.079,3.839,3
8.146,3.211,3
9.788,0.115,3
6.338,-0.071,3
7.215,-0.053,3
7.187,-0.06,3
7.228,-0.035,3
5.261,0.341,3
5.33,0.975,3
3.825,3.531,3
14.852,2.596,3
13.432,-1.757,3
12.776,-2.422,3
14.18,0.393,3
11.609,0.764,3
12.498,1.462,3
10.484,0.173,3
12.067,0.254,3
13.056,3.144,3
11.815,0.812,3
12.488,0.849,3
13.37,0.898,3
9.017,1.749,3
8.21,1.02,3
8.342,1.788,3
8.984,1.1,3
9.174,1.668,3
9.166,1.669,3
10.131,1.722,3
10.772,1.386,3
8.814,3.918,3
9.066,2.295,3
9.146,1.104,3
10.955,0.175,3
8.333,0.017,3
6.659,3.059,3
6.838,-0.116,3
6.754,-0.121,3
6.982,0.439,3
7.345,1.682,3
7.122,1.544,3
7.366,-0.07,3
7.128,-0.09,3
7.163,0.454,3
6.852,3.709,3
8.012,0.996,3
7.867,2.792,3
7.708,-0.022,3
9.104,0.633,3
9.194,0.637,3
8.94,2.251,3
8.69,0.053,3
8.652,0.05,3
